timestamp,P_total,p_BASE,T_ext,P_estime_clim,o_climatisation,P_reel_clim,aggregate_estimated
2014-07-01,0.512,0.512,22.4,0.0,0,0.0,0.0
2014-07-01 00:15:00,0.481,0.481,22.25,0.0,0,0.0,0.0
2014-07-01 00:30:00,0.491,0.491,22.1,0.0,0,0.0,0.0
2014-07-01 00:45:00,0.482,0.482,21.95,0.0,0,0.0,0.0
2014-07-01 01:00:00,0.498,0.498,21.8,0.0,0,0.0,0.0
2014-07-01 01:15:00,0.424,0.424,21.55,0.0,0,0.0,0.0
2014-07-01 01:30:00,0.456,0.456,21.3,0.0,0,0.0,0.0
2014-07-01 01:45:00,0.425,0.425,21.05,0.0,0,0.0,0.0
2014-07-01 02:00:00,0.453,0.453,20.8,0.0,0,0.0,0.0
2014-07-01 02:15:00,0.483,0.483,20.5,0.0,0,0.0,0.0
2014-07-01 02:30:00,0.486,0.486,20.200000000000003,0.0,0,0.0,0.0
2014-07-01 02:45:00,0.615,0.615,19.9,0.0,0,0.0,0.0
2014-07-01 03:00:00,0.61,0.61,19.6,0.0,0,0.0,0.0
2014-07-01 03:15:00,0.605,0.605,19.4,0.0,0,0.0,0.0
2014-07-01 03:30:00,0.408,0.408,19.200000000000003,0.0,0,0.0,0.0
2014-07-01 03:45:00,0.425,0.425,19.0,0.0,0,0.0,0.0
2014-07-01 04:00:00,0.444,0.444,18.8,0.0,0,0.0,0.0
2014-07-01 04:15:00,0.494,0.494,18.675,0.0,0,0.0,0.0
2014-07-01 04:30:00,0.461,0.461,18.55,0.0,0,0.0,0.0
2014-07-01 04:45:00,0.564,0.564,18.425,0.0,0,0.0,0.0
2014-07-01 05:00:00,0.61,0.61,18.3,0.0,0,0.0,0.0
2014-07-01 05:15:00,0.558,0.558,18.25,0.0,0,0.0,0.0
2014-07-01 05:30:00,0.478,0.478,18.200000000000003,0.0,0,0.0,0.0
2014-07-01 05:45:00,0.427,0.427,18.15,0.0,0,0.0,0.0
2014-07-01 06:00:00,0.458,0.458,18.1,0.0,0,0.0,0.0
2014-07-01 06:15:00,0.446,0.446,17.825000000000003,0.0,0,0.0,0.0
2014-07-01 06:30:00,0.45,0.45,17.55,0.0,0,0.0,0.0
2014-07-01 06:45:00,0.443,0.443,17.275,0.0,0,0.0,0.0
2014-07-01 07:00:00,0.473,0.473,17.0,0.0,0,0.0,0.0
2014-07-01 07:15:00,0.474,0.474,17.0,0.0,0,0.0,0.0
2014-07-01 07:30:00,0.514,0.514,17.0,0.0,0,0.0,0.0
2014-07-01 07:45:00,1.232,1.232,17.0,0.0,0,0.0,0.0
2014-07-01 08:00:00,1.384,1.384,17.0,0.0,0,0.0,0.0
2014-07-01 08:15:00,1.194,1.194,16.925,0.0,0,0.0,0.0
2014-07-01 08:30:00,1.226,1.226,16.85,0.0,0,0.0,0.0
2014-07-01 08:45:00,1.241,1.241,16.775,0.0,0,0.0,0.0
2014-07-01 09:00:00,1.567,1.567,16.7,0.0,0,0.0,0.0
2014-07-01 09:15:00,1.883,1.883,16.675,0.0,0,0.0,0.0
2014-07-01 09:30:00,2.182,2.182,16.65,0.0,0,0.0,0.0
2014-07-01 09:45:00,2.064,2.064,16.625,0.0,0,0.0,0.0
2014-07-01 10:00:00,1.989,1.989,16.6,0.0,0,0.0,0.0
2014-07-01 10:15:00,1.102,1.102,16.6,0.0,0,0.0,0.0
2014-07-01 10:30:00,1.581,1.581,16.6,0.0,0,0.0,0.0
2014-07-01 10:45:00,1.342,1.342,16.6,0.0,0,0.0,0.0
2014-07-01 11:00:00,1.297,1.297,16.6,0.0,0,0.0,0.0
2014-07-01 11:15:00,1.146,1.146,16.55,0.0,0,0.0,0.0
